,Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
106,CTXT11,Lajes Corporativas,3672.43,25.0,0.0004,0.01,106015755.51,2445
107,CVBI11,Papéis,2636415.1,79.0,0.0115,-0.0678,1022598364.36,93015
108,CVPR11,Indefinido,0.0,0.0,0.0,0.0,3764560.28,2
109,CXAG11,Agências de Bancos,170954.33,62.0,0.0096,0.0008,241813068.41,12395
110,CXCE11B,Lajes Corporativas,9205.0,61.0,0.0109,0.0018,110543765.88,3247
111,CXCI11,Indefinido,126014.81,80.0,0.0109,-0.0591,169668353.96,5330
112,CXCO11,Lajes Corporativas,220073.29,52.0,0.0098,-0.0745,400278019.76,13451
113,CXRI11,Fundo de Fundos,7301.48,85.0,0.0086,-0.053099999999999994,125069885.61,1927
114,CXTL11,Imóveis Industriais e Logísticos,4632.24,51.0,0.0088,-0.0861,21404970.26,684
115,CYCR11,Indefinido,762585.24,87.0,0.011200000000000002,-0.0059,344494732.96,20035
116,DAMA11,Misto,12503.19,98.0,0.0063,-0.0909,42817034.3,719
117,DAMT11B,Shoppings,1400.0,83.0,0.0033,-0.17,246416467.0,538
118,DCRA11,Misto,139242.29,0.0,0.014199999999999999,-0.0964,0.0,0
119,DEVA11,Papéis,884763.71,27.0,0.0139,-0.061200000000000004,1398736895.82,99631
120,DLMT11,Varejo,0.0,0.0,0.0,0.0,7983558.23,9
121,DPRO11,Indefinido,2707.9,65.0,0.0087,-0.0579,46040465.98,737
122,DRIT11B,Lajes Corporativas,1547.0,65.0,0.0,0.0,59546014.82,364
123,DVFF11,Fundo de Fundos,29922.86,75.0,0.0109,-0.0776,92016009.14,1748
124,EDFO11B,Lajes Corporativas,7938.5,103.0,0.0,0.0,52707758.43,500
125,EDGA11,Lajes Corporativas,12396.81,27.0,0.0034000000000000002,0.0017000000000000001,237873097.08,4374
126,EGAF11,Indefinido,574380.57,83.0,0.0121,-0.0017000000000000001,308778756.36,11948
127,ENDD11,Indefinido,289691.24,0.0,0.0279,0.1066,0.0,0
128,EQIA11,Fiagro,0.0,0.0,0.0,0.0,0.0,0
129,EQIR11,Indefinido,226329.1,75.0,0.011699999999999999,-0.0709,104782914.95,11438
130,ERCR11,Varejo,0.0,59.0,0.0277,-0.08990000000000001,62813536.15,10
131,ERPA11,Lajes Corporativas,3273.0,94.0,0.006500000000000001,-0.0298,71095792.53,443
132,ESUD11,Indefinido,1579.95,0.0,0.0,0.0,0.0,0
133,ESUT11,Indefinido,58182.0,0.0,0.0,0.0,0.0,0
134,ESUU11,Indefinido,3200.0,0.0,0.0,0.0,0.0,0
135,EURO11,Imóveis Industriais e Logísticos,38078.57,61.0,0.0085,0.0036,129845419.33,2178
136,EVBI11,Misto,32194.42,108.0,0.01,0.0304,411111480.82,1336
137,EXES11,Indefinido,56276.67,104.0,0.0115,0.0,64854403.56,399
138,FAED11,Educacional,64708.0,62.0,0.0115,-0.0258,152202971.24,4444
