Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
COPP11,Lajes Corporativas,"1.827.632,00",94.0,"0,00 %","0,00 %","309.840.713,14",132
CORM11,Lajes Corporativas,,,"0,90 %","-2,97 %",,0
CPFF11,Fundo de Fundos,"917.416,62",80.0,"0,55 %","-3,23 %","191.530.307,20",8.055
CPFO11,Fundo de Fundos,,,"0,00 %","0,00 %","118.155.565,38",8.102
CPLG11,Misto,"2.653.580,62",105.0,"1,36 %","1,76 %","358.321.991,16",176
CPOF11,Misto,"514.824,33",98.0,"0,79 %","-0,32 %","309.840.713,14",132
CPSH11,Indefinido,"3.781.735,14",82.0,"1,18 %","-3,23 %","891.969.576,93",11.838
CPTI11,Indefinido,"3.613.416,10",,"1,17 %","-3,88 %",,0
CPTR11,Indefinido,"923.624,24",65.0,"1,19 %","5,13 %","390.184.807,26",30.097
CPTS11,Papéis,"8.352.562,95",76.0,"1,16 %","-8,74 %","2.744.158.527,53",376.678
CRAA11,Indefinido,"1.016.344,81",85.0,"0,93 %","-14,88 %","239.604.790,94",8.225
CRFF11,Fundo de Fundos,"52.665,52",86.0,"0,89 %","-3,53 %","54.372.521,24",1.336
CSMC11,Indefinido,,,"0,00 %","0,00 %","1.365.585.065,77",1
CTXT11,Lajes Corporativas,"3.672,43",25.0,"0,04 %","1,00 %","106.015.755,51",2.445
CVBI11,Papéis,"2.636.415,10",79.0,"1,15 %","-6,78 %","1.022.598.364,36",93.015
CVPR11,Indefinido,,,"0,00 %","0,00 %","3.764.560,28",2
CXAG11,Agências de Bancos,"170.954,33",62.0,"0,96 %","0,08 %","241.813.068,41",12.395
CXCE11B,Lajes Corporativas,"9.205,00",61.0,"1,09 %","0,18 %","110.543.765,88",3.247
CXCI11,Indefinido,"126.014,81",80.0,"1,09 %","-5,91 %","169.668.353,96",5.330
CXCO11,Lajes Corporativas,"220.073,29",52.0,"0,98 %","-7,45 %","400.278.019,76",13.451
CXRI11,Fundo de Fundos,"7.301,48",85.0,"0,86 %","-5,31 %","125.069.885,61",1.927
CXTL11,Imóveis Industriais e Logísticos,"4.632,24",51.0,"0,88 %","-8,61 %","21.404.970,26",684
CYCR11,Indefinido,"762.585,24",87.0,"1,12 %","-0,59 %","344.494.732,96",20.035
